TIME(s),CH1,CH1_Peak_Detect,Pressure(PSIG)
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.72,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.72,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.72,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.72,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.72,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.72,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.64,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.68,1.6,4710.4
-2.00E+01,1.68,1.76,5547.28
-2.00E+01,1.68,1.56,4501.18
-2.00E+01,1.64,1.76,5547.28
-2.00E+01,1.72,1.56,4501.18
-2.00E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.72,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.64,1.6,4710.4
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.64,1.56,4501.18
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.68,1.6,4710.4
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.64,1.6,4710.4
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.72,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.72,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.64,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.68,1.56,4501.18
-1.99E+01,1.68,1.76,5547.28
-1.99E+01,1.64,1.56,4501.18
-1.99E+01,1.72,1.76,5547.28
