    DATE,    TIME,Regulator Inlet Pressure,Regulator Out Pressure, AMBIENT, LINE IN, REG BOD, LINE OUT
2/1/2017,12:41:45,30158,30108,70.7,63.1,66.7,65.7
2/1/2017,12:41:46,30166,30117,70.7,63.1,66.7,65.7
2/1/2017,12:41:47,30181,30133,70.7,63.1,66.7,65.7
2/1/2017,12:41:48,30192,30146,70.7,63.1,66.7,65.7
2/1/2017,12:41:49,30209,30158,70.7,63.1,66.7,65.7
2/1/2017,12:41:50,30217,30168,70.6,63.1,66.7,65.7
2/1/2017,12:41:51,30226,30178,70.6,63.1,66.7,65.7
2/1/2017,12:41:52,30230,30179,70.6,63.1,66.7,65.7
2/1/2017,12:41:53,30181,30126,70.4,63.1,66.7,65.7
2/1/2017,12:41:54,30154,30106,70.4,63.1,66.7,65.7
2/1/2017,12:41:55,30142,30096,70.4,63.1,66.7,65.7
2/1/2017,12:41:56,30178,30128,70.4,63.1,66.7,65.7
2/1/2017,12:41:57,30220,29980,70.4,63.1,66.7,65.7
2/1/2017,12:41:58,30231,29797,70.4,63.1,66.7,65.7
2/1/2017,12:41:59,30224,29854,70.3,63.1,66.7,65.7
2/1/2017,12:42:00,30209,30019,70.3,63.1,66.7,65.7
2/1/2017,12:42:01,30184,30137,70.3,63.1,66.7,65.7
2/1/2017,12:42:02,30157,30087,70.3,63.1,66.7,65.7
2/1/2017,12:42:03,30159,30027,70.3,63.1,66.7,65.7
2/1/2017,12:42:04,30178,30053,70.4,63.1,66.7,65.7
2/1/2017,12:42:05,30178,29844,70.4,63.1,66.7,65.7
2/1/2017,12:42:06,30186,29960,70.4,63.1,66.7,65.7
2/1/2017,12:42:07,30190,30043,70.3,63.1,66.6,65.7
2/1/2017,12:42:08,30189,30079,70.3,63.1,66.6,65.7
2/1/2017,12:42:09,30173,30097,70.3,63.1,66.6,65.7
2/1/2017,12:42:10,30160,30116,70.2,63.1,66.7,65.7
2/1/2017,12:42:11,30175,29987,70.2,63.1,66.7,65.7
2/1/2017,12:42:12,30190,29817,70.2,63.1,66.7,65.7
2/1/2017,12:42:13,30046,29941,70,63.1,66.7,65.7
2/1/2017,12:42:14,29865,28708,70,63.1,66.7,65.7
2/1/2017,12:42:15,29586,28511,70,63.1,66.7,65.7
2/1/2017,12:42:16,29640,28444,69.8,63.1,66.6,65.7
2/1/2017,12:42:17,29699,26794,69.8,63.1,66.6,65.7
2/1/2017,12:42:18,29648,26950,69.8,63.1,66.6,65.7
