Date,Close,10ma_IN,20ma_IN,+2sigma_IN,-2sigma_IN,%DR,DR_ma,High_IN,Low_IN,Vol_IN,Vol_MA_IN,Target,Entry,Stop_Loss,MA_Exit_Date,MA_on_Exit,20ma_OUT,+2sigma_OUT,-2sigma_OUT,Duration,Close_OUT,High_OUT,Low_OUT,Vol_OUT,GL_on_MA,GL_MA_Money,GL_MA_%,SS_IN,HLS_IN,GL_Success,Above_Vol_Ma,10_above_20,Close_above_2s,DR_above_DRma,DR_ma_up
2014-08-18,55.92,55.7,55.776,57.48,54.073,0.775,0.149,55.95,55.42,1391400,2052550.0,58.716,55.92,53.124,2014-09-12,59.021,57.781,60.596,54.965,25 days 00:00:00.000000000,58.75,59.49,58.49,2457600,3.101,310.1,5.545,3.408,0.53,1,0,0,0,1,1
2014-09-24,58.99,58.727,58.669,60.234,57.103,0.872,-0.103,59.2,58.32,1013000,1568710.0,61.94,58.99,56.041,2014-09-25,58.641,58.744,60.102,57.385,1 days 00:00:00.000000000,58.5,58.89,58.25,2021400,-0.349,-34.9,-0.592,3.131,0.88,0,0,1,0,1,0
2014-09-26,58.66,58.632,58.827,59.912,57.741,0.274,-0.014,58.69,57.96,1119100,1638640.0,61.593,58.66,55.727,2014-10-01,58.832,58.977,59.971,57.983,5 days 00:00:00.000000000,58.38,59.46,58.31,1659900,0.172,17.2,0.293,2.172,0.73,1,0,0,0,1,0
2014-10-02,59.14,58.854,58.985,59.981,57.988,1.302,0.043,59.49,58.38,1525100,1601920.0,62.097,59.14,56.183,2014-10-07,59.001,58.895,59.906,57.884,5 days 00:00:00.000000000,58.04,59.13,58.02,1281800,-0.139,-13.9,-0.235,1.993,1.11,0,0,0,0,1,1
2014-10-08,59.22,59.024,58.876,59.842,57.909,2.033,0.049,59.3,57.79,1515300,1689190.0,62.181,59.22,56.259,2014-10-09,58.985,58.813,59.809,57.817,1 days 00:00:00.000000000,58.11,59.3,57.93,1384500,-0.235,-23.5,-0.397,1.933,1.51,0,0,1,0,1,1
2014-10-20,58.32,57.576,58.311,60.324,56.297,1.976,-0.147,58.34,56.88,1305600,1648040.0,61.236,58.32,55.404,2014-11-07,63.105,60.621,66.148,55.093,18 days 00:00:00.000000000,63.01,63.96,62.7,1695900,4.785,478.5,8.205,4.027,1.46,1,0,0,0,1,0
2014-11-10,63.42,63.184,60.947,66.316,55.578,0.651,0.13,63.44,62.53,1304500,1804870.0,66.591,63.42,60.249,2014-11-11,63.159,61.251,66.357,56.145,1 days 00:00:00.000000000,63.06,63.69,62.78,961600,-0.261,-26.1,-0.412,10.739,0.91,0,0,1,0,1,1
2014-11-12,63.82,63.312,61.591,66.409,56.772,1.205,0.246,63.93,62.66,1177900,1727630.0,67.011,63.82,60.629,2014-11-19,63.804,63.151,65.412,60.89,7 days 00:00:00.000000000,63.57,64.32,63.44,1109400,-0.016,-1.6,-0.025,9.637,1.27,0,0,1,0,1,1
2014-11-24,64.17,63.885,63.534,64.687,62.382,0.896,0.12,64.2,63.32,934300,1347940.0,67.378,64.17,60.961,2014-11-25,63.88,63.519,64.692,62.347,1 days 00:00:00.000000000,63.01,64.66,62.96,2306800,-0.29,-29.0,-0.452,2.306,0.88,0,0,1,0,1,1
2014-11-28,64.4,63.855,63.677,64.659,62.696,1.099,-0.016,64.73,63.67,593800,1283740.0,67.62,64.4,61.18,2014-12-04,63.906,63.855,64.846,62.864,6 days 00:00:00.000000000,63.88,64.58,63.58,605700,-0.494,-49.4,-0.767,1.962,1.06,0,0,1,0,1,0
